seed,rows,columns,method,iter,time,of
0,9,9,random,50000,661.3134286403656,198951.0
0,9,9,PDFT1,50000,634.0314655303955,130598.0
0,9,9,PDFT2,50000,432.0036942958832,121213.0
1,9,9,solver,-1,635.3225939273834,97666.0
1,9,9,random,50000,627.7328209877014,201908.0
1,9,9,PDFT1,50000,647.1240668296814,135511.0
1,9,9,PDFT2,50000,434.1508774757385,127231.0
2,9,9,solver,-1,635.3225939273834,97666.0
2,9,9,random,50000,636.1071629524231,199852.0
2,9,9,PDFT1,50000,640.0315320491791,120718.0
2,9,9,PDFT2,50000,428.61024022102356,122818.0
3,9,9,solver,-1,635.3225939273834,97666.0
3,9,9,random,50000,625.6619498729706,204371.0
3,9,9,PDFT1,50000,628.1155753135681,136716.0
3,9,9,PDFT2,50000,429.48318815231323,125693.0
4,9,9,solver,-1,635.3225939273834,97666.0
4,9,9,random,50000,626.0216143131256,207960.0
4,9,9,PDFT1,50000,639.816704750061,135258.0
4,9,9,PDFT2,50000,428.0778830051422,133075.0
5,9,9,solver,-1,635.3225939273834,97666.0
5,9,9,random,50000,654.3699753284454,207171.0
5,9,9,PDFT1,50000,631.2928681373596,131992.0
5,9,9,PDFT2,50000,430.0062747001648,127643.0
6,9,9,solver,-1,635.3225939273834,97666.0
6,9,9,random,50000,627.2283997535706,199679.0
6,9,9,PDFT1,50000,626.8749344348907,135096.0
6,9,9,PDFT2,50000,431.78181171417236,127888.0
7,9,9,solver,-1,635.3225939273834,97666.0
7,9,9,random,50000,613.6457660198212,206945.0
7,9,9,PDFT1,50000,630.8018147945404,136575.0
7,9,9,PDFT2,50000,433.2730596065521,119687.0
8,9,9,solver,-1,635.3225939273834,97666.0
8,9,9,random,50000,623.8894300460815,196563.0
8,9,9,PDFT1,50000,625.1942565441132,129792.0
8,9,9,PDFT2,50000,427.27131700515747,129340.0
9,9,9,solver,-1,635.3225939273834,97666.0
9,9,9,random,50000,618.8174488544464,204743.0
9,9,9,PDFT1,50000,624.6068699359894,133428.0
9,9,9,PDFT2,50000,424.82691264152527,121960.0
0,9,9,solver,-1,635.3225939273834,97666.0
0,9,9,random,100000,1242.8886585235596,195540.0
0,9,9,PDFT1,100000,1270.4151010513306,137162.0
0,9,9,PDFT2,100000,854.1059272289276,126811.0
1,9,9,solver,-1,635.3225939273834,97666.0
1,9,9,random,100000,1265.5912642478943,201908.0
1,9,9,PDFT1,100000,1258.107295513153,132416.0
1,9,9,PDFT2,100000,859.8741533756256,122955.0
2,9,9,solver,-1,635.3225939273834,97666.0
2,9,9,random,100000,1252.4434897899628,196848.0
2,9,9,PDFT1,100000,1260.8355951309204,135068.0
2,9,9,PDFT2,100000,853.4166789054871,113719.0
3,9,9,solver,-1,635.3225939273834,97666.0
3,9,9,random,100000,1247.166356086731,201872.0
3,9,9,PDFT1,100000,1256.6908271312714,132174.0
3,9,9,PDFT2,100000,856.2956445217133,111715.0
4,9,9,solver,-1,635.3225939273834,97666.0
4,9,9,random,100000,1251.0582766532898,192010.0
