seed,row,column,method,iter,time,of,feseable
28,6,6,solver,12,6.019446611,42935,1
29,6,6,solver,12,15.4547348,37927,1
0,6,6,solver,13,4.275060654,30310,1
1,6,6,solver,13,2.983162642,41016,1
2,6,6,solver,13,20.2124114,41242,1
3,6,6,solver,13,3.466810942,41642,1
4,6,6,solver,13,6.209350109,41385,1
5,6,6,solver,13,3.962003946,37774,1
6,6,6,solver,13,2.810276031,36957,1
7,6,6,solver,13,7.933162212,42042,1
8,6,6,solver,13,4.770726442,49053,1
9,6,6,solver,13,7.721726179,35699,1
10,6,6,solver,13,5.086348295,32610,1
11,6,6,solver,13,2.229023457,49682,1
12,6,6,solver,13,2.613815784,38181,1
13,6,6,solver,13,5.400683641,32130,1
14,6,6,solver,13,1.935856342,30130,1
15,6,6,solver,13,0.418744326,32192,1
16,6,6,solver,13,2.240454912,33630,1
17,6,6,solver,13,22.25729871,42412,1
18,6,6,solver,13,9.252507687,35612,1
19,6,6,solver,13,41.23471808,50043,1
20,6,6,solver,13,4.416345358,32221,1
21,6,6,solver,13,25.82174754,49160,1
22,6,6,solver,13,4.136764288,36813,1
23,6,6,solver,13,6.038544416,31450,1
24,6,6,solver,13,12.05354929,39501,1
25,6,6,solver,13,14.10604525,33281,1
26,6,6,solver,13,14.0732789,40477,1
27,6,6,solver,13,16.51929021,42858,1
28,6,6,solver,13,5.964095354,42935,1
29,6,6,solver,13,15.51016927,37927,1
0,6,6,solver,14,4.262264252,30310,1
1,6,6,solver,14,3.033276796,41016,1
2,6,6,solver,14,20.17110848,41242,1
3,6,6,solver,14,3.473072529,41642,1
4,6,6,solver,14,6.169431686,41385,1
5,6,6,solver,14,3.955857992,37774,1
6,6,6,solver,14,2.782067537,36957,1
7,6,6,solver,14,7.777197838,42042,1
8,6,6,solver,14,4.678035259,49053,1
9,6,6,solver,14,7.82903862,35699,1
10,6,6,solver,14,5.09309268,32610,1
11,6,6,solver,14,2.137003183,49682,1
12,6,6,solver,14,2.555166483,38181,1
13,6,6,solver,14,5.043147326,32130,1
14,6,6,solver,14,1.929029942,30130,1
15,6,6,solver,14,0.416006088,32192,1
16,6,6,solver,14,2.163077593,33630,1
17,6,6,solver,14,21.81145859,42412,1
18,6,6,solver,14,9.018110752,35612,1
19,6,6,solver,14,39.70270181,50043,1
20,6,6,solver,14,4.393104553,32221,1
21,6,6,solver,14,25.29055929,49160,1
22,6,6,solver,14,4.005719423,36813,1
23,6,6,solver,14,5.982412815,31450,1
24,6,6,solver,14,11.63490605,39501,1
25,6,6,solver,14,13.75088787,33281,1
26,6,6,solver,14,13.53288889,40477,1
27,6,6,solver,14,16.66486144,42858,1
28,6,6,solver,14,6.086791277,42935,1
29,6,6,solver,14,15.3502984,37927,1
0,6,6,solver,15,4.111060858,30310,1
1,6,6,solver,15,2.929040432,41016,1
2,6,6,solver,15,20.0423317,41242,1
3,6,6,solver,15,3.514134169,41642,1
4,6,6,solver,15,6.1840868,41385,1
5,6,6,solver,15,3.94247961,37774,1
6,6,6,solver,15,2.781926394,36957,1
7,6,6,solver,15,8.088113546,42042,1
8,6,6,solver,15,4.730151415,49053,1
9,6,6,solver,15,7.687896967,35699,1
10,6,6,solver,15,5.108999968,32610,1
11,6,6,solver,15,2.209483147,49682,1
12,6,6,solver,15,2.587571621,38181,1
13,6,6,solver,15,5.098594904,32130,1
14,6,6,solver,15,1.929868937,30130,1
15,6,6,solver,15,0.421383142,32192,1
16,6,6,solver,15,2.161687613,33630,1
17,6,6,solver,15,21.82387829,42412,1
18,6,6,solver,15,9.173214197,35612,1
19,6,6,solver,15,39.76059937,50043,1
20,6,6,solver,15,4.467074871,32221,1
21,6,6,solver,15,25.85347581,49160,1
22,6,6,solver,15,4.029923201,36813,1
23,6,6,solver,15,5.7807827,31450,1
24,6,6,solver,15,11.68384385,39501,1
25,6,6,solver,15,13.76065207,33281,1
26,6,6,solver,15,13.60108542,40477,1
27,6,6,solver,15,16.80551434,42858,1
28,6,6,solver,15,5.979419947,42935,1
29,6,6,solver,15,15.3536272,37927,1
0,6,6,solver,16,4.250380039,30310,1
1,6,6,solver,16,2.952090502,41016,1
2,6,6,solver,16,20.17714572,41242,1
3,6,6,solver,16,3.478121996,41642,1
4,6,6,solver,16,6.444093704,41385,1
5,6,6,solver,16,4.012083292,37774,1
6,6,6,solver,16,2.829108953,36957,1
7,6,6,solver,16,7.821100235,42042,1
8,6,6,solver,16,4.726131916,49053,1
9,6,6,solver,16,7.736137629,35699,1
10,6,6,solver,16,5.185060024,32610,1
11,6,6,solver,16,2.173047781,49682,1
12,6,6,solver,16,2.553088903,38181,1
13,6,6,solver,16,5.083079576,32130,1
14,6,6,solver,16,1.939015388,30130,1
15,6,6,solver,16,0.431072712,32192,1
16,6,6,solver,16,2.167098761,33630,1
17,6,6,solver,16,22.16840506,42412,1
18,6,6,solver,16,9.087207794,35612,1
19,6,6,solver,16,39.5306735,50043,1
20,6,6,solver,16,4.420565367,32221,1
21,6,6,solver,16,25.46307993,49160,1
22,6,6,solver,16,3.993721008,36813,1
23,6,6,solver,16,5.794010878,31450,1
24,6,6,solver,16,11.5691061,39501,1
25,6,6,solver,16,13.73435497,33281,1
26,6,6,solver,16,13.64107752,40477,1
27,6,6,solver,16,16.54080486,42858,1
28,6,6,solver,16,5.96607089,42935,1
29,6,6,solver,16,15.45443058,37927,1
0,6,6,solver,17,4.155745983,30310,1
1,6,6,solver,17,2.989200592,41016,1
2,6,6,solver,17,20.03577328,41242,1
3,6,6,solver,17,3.55316329,41642,1
4,6,6,solver,17,6.303116798,41385,1
5,6,6,solver,17,3.994247198,37774,1
6,6,6,solver,17,2.825820923,36957,1
7,6,6,solver,17,8.368312359,42042,1
8,6,6,solver,17,4.859923601,49053,1
9,6,6,solver,17,7.871275425,35699,1
10,6,6,solver,17,5.171961784,32610,1
11,6,6,solver,17,2.197746038,49682,1
12,6,6,solver,17,2.594043493,38181,1
13,6,6,solver,17,5.222771883,32130,1
14,6,6,solver,17,1.945061445,30130,1
15,6,6,solver,17,0.423851252,32192,1
16,6,6,solver,17,2.225163221,33630,1
17,6,6,solver,17,22.06838822,42412,1
18,6,6,solver,17,8.990266085,35612,1
19,6,6,solver,17,40.34269428,50043,1
20,6,6,solver,17,4.774989843,32221,1
21,6,6,solver,17,25.37751436,49160,1
22,6,6,solver,17,4.024094343,36813,1
23,6,6,solver,17,5.782109737,31450,1
24,6,6,solver,17,11.71717811,39501,1
