seed,rows,columns,method,iter,time,of,flagSolver
5,6,6,solver,-1,2.2672386169433594,37774.0,1
5,6,6,random,1000,3.8932406902313232,82052.0,1
5,6,6,PDF,1000,5.276499271392822,49509.0,1
5,6,6,BIC,1000,6.692571401596069,38773.0,1
5,6,6,N21,1000,34.10146236419678,83845.0,1
5,6,6,12N,1000,28.40884017944336,67275.0,1
6,6,6,solver,-1,1.617255449295044,36957.0,1
6,6,6,random,1000,3.944530725479126,85626.0,1
6,6,6,PDF,1000,5.121937036514282,43412.0,1
6,6,6,BIC,1000,7.022274017333984,39584.0,1
6,6,6,N21,1000,31.381908893585205,84868.0,1
6,6,6,12N,1000,28.677319288253784,67887.0,1
7,6,6,solver,-1,4.589891672134399,42042.0,1
7,6,6,random,1000,3.626370668411255,84271.0,1
7,6,6,PDF,1000,4.200529336929321,58487.0,1
7,6,6,BIC,1000,7.6473002433776855,42622.0,1
7,6,6,N21,1000,30.894343852996826,95968.0,1
7,6,6,12N,1000,27.469854831695557,68156.0,1
8,6,6,solver,-1,2.713862657546997,49053.0,1
8,6,6,random,1000,3.8082456588745117,84416.0,1
8,6,6,PDF,1000,6.389647483825684,58666.0,1
8,6,6,BIC,1000,6.003203868865967,52464.0,1
8,6,6,N21,1000,31.750940084457397,92610.0,1
8,6,6,12N,1000,23.783555507659912,68285.0,1
9,6,6,solver,-1,4.486021041870117,35699.0,1
9,6,6,random,1000,4.287227630615234,67068.0,1
9,6,6,PDF,1000,5.154419898986816,44724.0,1
9,6,6,BIC,1000,6.8199381828308105,39876.0,1
9,6,6,N21,1000,30.64149832725525,76817.0,1
9,6,6,12N,1000,28.633705854415894,59645.0,1
0,7,7,solver,-1,7.543548583984375,56928.0,1
0,7,7,random,1000,5.464001417160034,120845.0,1
0,7,7,PDF,1000,9.088032245635986,78374.0,1
0,7,7,BIC,1000,7.262577533721924,70252.0,1
0,7,7,N21,1000,58.370800495147705,112164.0,1
0,7,7,12N,1000,52.17395615577698,102804.0,1
1,7,7,solver,-1,12.83596920967102,54199.0,1
1,7,7,random,1000,6.205307245254517,122485.0,1
1,7,7,PDF,1000,8.540590524673462,73542.0,1
1,7,7,BIC,1000,6.950544118881226,61588.0,1
1,7,7,N21,1000,59.62891960144043,99660.0,1
1,7,7,12N,1000,49.989206075668335,94177.0,1
2,7,7,solver,-1,36.76467728614807,65040.0,1
2,7,7,random,1000,6.515202045440674,121559.0,1
2,7,7,PDF,1000,9.232704877853394,89020.0,1
2,7,7,BIC,1000,6.024952411651611,86172.0,1
2,7,7,N21,1000,59.22832465171814,96632.0,1
2,7,7,12N,1000,45.44751262664795,98826.0,1
3,7,7,solver,-1,4.363609790802002,63592.0,1
3,7,7,random,1000,5.502089262008667,130915.0,1
3,7,7,PDF,1000,8.299838304519653,85069.0,1
3,7,7,BIC,1000,6.774148464202881,74481.0,1
3,7,7,N21,1000,60.08702826499939,121500.0,1
3,7,7,12N,1000,44.55379915237427,95842.0,1
4,7,7,solver,-1,17.364667654037476,60683.0,1
4,7,7,random,1000,6.667590856552124,133981.0,1
4,7,7,PDF,1000,9.137114524841309,86059.0,1
4,7,7,BIC,1000,7.506500005722046,76504.0,1
4,7,7,N21,1000,53.28317904472351,128311.0,1
4,7,7,12N,1000,45.69628548622131,109964.0,1
5,7,7,solver,-1,41.72892713546753,71565.0,1
5,7,7,random,1000,7.080068349838257,137602.0,1
5,7,7,PDF,1000,9.867969751358032,93111.0,1
5,7,7,BIC,1000,5.880227565765381,102259.0,1
5,7,7,N21,1000,56.29182267189026,122639.0,1
5,7,7,12N,1000,43.6532940864563,118899.0,1
6,7,7,solver,-1,9.339239120483398,50791.0,1
6,7,7,random,1000,6.564672231674194,94484.0,1
6,7,7,PDF,1000,9.255239963531494,71356.0,1
6,7,7,BIC,1000,7.6150922775268555,58046.0,1
6,7,7,N21,1000,51.69581842422485,122726.0,1
6,7,7,12N,1000,52.30285835266113,94901.0,1
7,7,7,solver,-1,10.59578275680542,54986.0,1
7,7,7,random,1000,6.831819534301758,128135.0,1
7,7,7,PDF,1000,7.881146192550659,82338.0,1
7,7,7,BIC,1000,6.918608903884888,69180.0,1
7,7,7,N21,1000,56.03928518295288,104140.0,1
7,7,7,12N,1000,52.22503423690796,103209.0,1
8,7,7,solver,-1,13.202863454818726,66950.0,1
8,7,7,random,1000,6.583436012268066,137967.0,1
8,7,7,PDF,1000,8.610605955123901,93887.0,1
8,7,7,BIC,1000,6.278263092041016,91212.0,1
8,7,7,N21,1000,56.21642470359802,106148.0,1
8,7,7,12N,1000,43.99316716194153,106857.0,1
9,7,7,solver,-1,4.848290681838989,51021.0,1
9,7,7,random,1000,5.522829055786133,113417.0,1
9,7,7,PDF,1000,8.758259296417236,67217.0,1
9,7,7,BIC,1000,8.278847217559814,57183.0,1
9,7,7,N21,1000,55.63092660903931,103005.0,1
9,7,7,12N,1000,47.575512409210205,99880.0,1
0,8,8,solver,-1,6.443170785903931,72577.0,1
0,8,8,random,1000,8.579596042633057,182726.0,1
0,8,8,PDF,1000,11.32592248916626,108268.0,1
0,8,8,BIC,1000,6.90632700920105,93346.0,1
0,8,8,N21,1000,92.43782234191895,166545.0,1
0,8,8,12N,1000,74.94544291496277,136632.0,1
